question,text,question_clean
When were Castille and Aragon united?,1479,castillearagonunited
In which states had Brincourt run military affairs previously?,Coahuila and Durango,statebrincourtrunmilitaryaffairpreviously
Where was the concept of parallel creation found?,Cicero,conceptparallelcreationfound
In what year did Greece win the Eurovision Song Contest?,2005,yeargreecewineurovisionsongcontest
What did plants eventually form against insects?,chemical defenses,planteventuallyforminsect
When did the Licchavi period end?,900,licchaviperiodend
What was the highest earning youtube partner video producer?,$12 million,highestearningyoutubepartnervideoproducer
"Notre Dame got a ""B"" for its sustainability practices from which entity?",Sustainable Endowments Institute,notredamegotbsustainabilitypracticeentity
Where do most satellites operate?,low Earth orbit,satelliteoperate
What is a section of a file that contains metadeta referred to as?,tag,sectionfilecontainsmetadetareferred
"When the punk movement started shrinking, what began to fill the void left by their demise?",vibrant new scenes,punkmovementstartedshrinkingbeganfillvoidleftdemise
How much should an NPO pay employees?,as much as they are able,muchnpopayemployee
Which main feature was removed in Windows 8?,the traditional Start menu,mainfeatureremovedwindow8
Which person oversaw the creation of a science hall at Notre Dame in 1883?,Fr. Zahm,personoversawcreationsciencehallnotredame1883
What was attacked in Mangishlak?,police station,attackedmangishlak
What effect will solar energy have on the price of fossil fuels?,keep fossil fuel prices lower than otherwise,effectsolarenergypricefossilfuel
How many middle class were in Egypt in 1950s,four million,manymiddleclassegypt1950s
What company included the soundtrack as a reward for ordering the game prior to release?,GameStop,companyincludedsoundtrackrewardorderinggamepriorrelease
How many categories of federal crimes does the FBI have jurisdiction over?,200,manycategoryfederalcrimefbijurisdiction
Who supplied assistance to the Chinese military?,Soviet Union,suppliedassistancechinesemilitary
What constraints kept HDTV from being widely adopted in the 90's?,technical and economic,constraintkepthdtvwidelyadopted90
What film did Kelly Clarkson and Justin Guarini star in after they were on American Idol?,From Justin to Kelly,filmkellyclarksonjustinguarinistaramericanidol
In what year did Queen win an MTV award?,1992,yearqueenwinmtvaward
What is the longest standing alliance in the world?,Portugal made an alliance with England,longeststandingallianceworld
What artist did Kanye West have a feud with over Amber Rose?,Wiz Khalifa,artistkanyewestfeudamberrose
What did Brigham Young instruct Karl G. Maeser to not teach even the alphabet without?,the Spirit of God,brighamyounginstructkarlgmaeserteachevenalphabetwithout
Who assists the Superintendent of Police?,the officers of the Himachal Police Service and other Himachal Police officials.,assistsuperintendentpolice
In what year was the Janissary corp disbanded?,1826,yearjanissarycorpdisbanded
What does a black object do to any of the light that hits it?,it absorbs all the light,blackobjectlighthit
What type of comic has taken off in the 21st century?,online webcomics,typecomictaken21stcentury
What has USB effectively replaced?,a variety of earlier interfaces,usbeffectivelyreplaced
Which decade did massive job losses happen in NYC due to industrial issues?,1970s,decademassivejoblosshappennycdueindustrialissue
What are the majority of transportation options?,"via roads, air, and rail.",majoritytransportationoption
In which other country is the UK thinking about installing a military base?,Oman,countryukthinkinginstallingmilitarybase
What highly energetic culture is in some concentrated mountain areas in the winter?,ski resort culture,highlyenergeticcultureconcentratedmountainareawinter
what is it called when fiber-optics are used for end users?,Fiber To The Home,calledfiberopticsusedenduser
"According to UNICEF, what percentage of women in Guinea-Bissau had undergone female genital mutilation?",50%,accordingunicefpercentagewomanguineabissauundergonefemalegenitalmutilation
Who occupied the Marshall Islands during the First World War?,Japan,occupiedmarshallislandfirstworldwar
What made the Timoto-cuicas so advanced?,agricultural techniques used,madetimotocuicasadvanced
What schools required child labour?,Christian mission schools,schoolrequiredchildlabour
"What was ""Black by definition""?",Moors,blackdefinition
What was the last Elvis Presley single released on 78?,I Got Stung/One Night,lastelvispresleysinglereleased78
In front of what NJ building was the street paved with asphalt in 1870?,City Hall,frontnjbuildingstreetpavedasphalt1870
"Avani Hotels and resorts is a chain resort in Windhoek, what is another?",Hilton Hotels and Resorts,avanihotelresortchainresortwindhoekanother
What sales figure was the 360 the first console of its generation to surpass?,10 million,salefigure360firstconsolegenerationsurpass
What animal was believe to be the only land vertebrate of Bermuda?,Bermuda rock skink,animalbelievelandvertebratebermuda
What else does clinical immunology concern itself with?,diseases of other systems,elseclinicalimmunologyconcern
"During the campaign, from where was it claimed Nixon had received money improperly?",a secret trust,campaignclaimednixonreceivedmoneyimproperly
Louis' Lunch is popular for serving what?,the hamburger,louislunchpopularserving
What group of French colonies was created in 1908?,French Equatorial Africa,groupfrenchcolonycreated1908
"What shortcoming was noticeable, from the start, for Wesley Clark?",few detailed policy proposals,shortcomingnoticeablestartwesleyclark
Which four main linguistic and cultural regions make up Switzerland?,"German, French, Italian and Romansh",fourmainlinguisticculturalregionmakeswitzerland
What position did Schwarzenegger briefly hold at Muscle & Fitness and Flex?,executive editor,positionschwarzeneggerbrieflyholdmusclefitnessflex
"Who invented the term ""urban adult contemporary format""?",Barry Mayo,inventedtermurbanadultcontemporaryformat
Which month marks the start of a Premier League season?,May,monthmarkstartpremierleagueseason
What was the dress rehearsal for?,Berlioz's Grande symphonie funèbre et triomphale,dressrehearsal
What is the hispanic make-up of the population?,12.3%,hispanicmakeuppopulation
Where can the National Dance Theatre be found in Kathmandu?,Kanti Path,nationaldancetheatrefoundkathmandu
What is the tower called?,El Miguelete,towercalled
What group was excluded or persecuted by the empire?,Heretics,groupexcludedpersecutedempire
What can refer to the study of patterns in human cultures?,Kinship,referstudypatternhumanculture
What is the name of the only medical center on Norfolk Island?,Norfolk Island Hospital,namemedicalcenternorfolkisland
What is the system that preserves the documents of US Presidents?,Presidential Library system,systempreservedocumentupresident
What will be the end result of God's kingdom?,"a fully tested, glorified human race",endresultgodkingdom
how much of the population have the rural plains lost since 1920? ,a third,muchpopulationruralplainlostsince1920
Where is the NM border of both Oklahoma and Texas supposed to line up with?,the 103rd Meridian,nmborderoklahomatexassupposedline
Who did samurai wives have to teach?,"the children (and perhaps servants, too)",samuraiwifeteach
Which administration called for investigation into the soundness of GSEs in the early and mid-2000s?,Bush administration,administrationcalledinvestigationsoundnessgsesearlymid2000s
What happened to the notabilities political position?,greatly strengthened,happenednotabilitypoliticalposition
What was the name of the agreement Hayek criticized in 1977?,Lib-Lab pact,nameagreementhayekcriticized1977
In what year did Schwarzenegger's former girlfriend Barbara Outland Baker publish her memoir?,2006,yearschwarzeneggersformergirlfriendbarbaraoutlandbakerpublishmemoir
Food goes in to the midgut after leaving where?,the crop,foodgomidgutleaving
"In Roman times, what two roads met at Valencia's centre?",Cardo Maximus and the Decumanus Maximus,romantimetworoadmetvalenciacentre
How many views did Grimm's last email get in the first four days after it was posted?,"more than 100,000",manyviewgrimmlastemailgetfirstfourdayposted
What may be formed between the external ectoderm and an internal endoderm layers?,mesoderm,mayformedexternalectoderminternalendodermlayer
"Which film had a larger production staff, Spectre or Skyfall?",Spectre,filmlargerproductionstaffspectreskyfall
By whom was Marcel Duchamp labeled an Orphanist? ,Apollinaire,marcelduchamplabeledorphanist
Why is hydrogen employed?,"to saturate broken (""dangling"") bonds of amorphous silicon and amorphous carbon that helps stabilizing material properties",hydrogenemployed
Which company makes timepieces in Midtown?,Shinola,companymaketimepiecemidtown
Fans could vote for what during this contest?,coronation song,fancouldvotecontest
Which species did Darwin compare with the human struggle to survive?,plants,speciedarwincomparehumanstrugglesurvive
Where was very expensive wallpaper imported from?,China,expensivewallpaperimported
How do birds store energy?,through the accumulation of fat and the control of sleep,birdstoreenergy
What polymer is found in spores and pollen?,Sporopollenin,polymerfoundsporepollen
Which two audio options are available on PAL LaserDiscs?,"two analog-only tracks on older PAL LDs, or two digital-only tracks on newer discs",twoaudiooptionavailablepallaserdiscs
What are often important to island ecology?,Birds,oftenimportantislandecology
Who formed the Grand Loge de France?,Duke of Clermont,formedgrandlogedefrance
During what period was the Paleozoic era?,541 to 252 million years ago,periodpaleozoicera
what label did Derrick May have successful releases on after his own?,Kool Kat Records,labelderrickmaysuccessfulrelease
What was the average debt of student loan borrowers from the class of 2013?,"$13,000",averagedebtstudentloanborrowerclass2013
Who was Hrothgar a descendant of?,Scyld,hrothgardescendant
What plants were abundant during this time?,pteridosperms,plantabundanttime
What was the amount of bailout money given to Cyprus?,€10 billion,amountbailoutmoneygivencyprus
Where in the US is considered the best place to grow cotton on Earth?,South Plains,uconsideredbestplacegrowcottonearth
What genre of music did season ten American Idol contestant Lauren Alaina sing?,country,genremusicseasontenamericanidolcontestantlaurenalainasing
"What type of  melodic, rhythmic, and harmonic changes have been made by composers but are based on the works that are monophonic and  unaccompanied sacred song?",polyphonic settings have been composed,typemelodicrhythmicharmonicchangemadecomposerbasedworkmonophonicunaccompaniedsacredsong
Carl Menger's work in social explanation was not too different from those in which Scottish period??,Scottish Enlightenment,carlmengersworksocialexplanationdifferentscottishperiod
How much have Central state enterprises donated?,48.6 million,muchcentralstateenterprisedonated
Who did the Umayyads fight in the Battle of Badr?,Hashimites,umayyadfightbattlebadr
What was Jayapala's response to the indemnity payment?,defaulted,jayapalasresponseindemnitypayment
Who was a big proponent of modernism in art?,José Luis Cuevas,bigproponentmodernismart
How is culture defined?,symbolic and behavioral inheritance received from the past that provides a community framework for what is valued,culturedefined
Which book was touted for establishing regulations for church and government?,First Book of Discipline,booktoutedestablishingregulationchurchgovernment
What has the NTSB conducted to find the cause of pilot fatigue?,research studies,ntsbconductedfindcausepilotfatigue
What kind of system is a dominant-party system?,where the People's Democratic Party of Tajikistan routinely has a vast majority in Parliament,kindsystemdominantpartysystem
When has anthropology developed related terms?,Over its history,anthropologydevelopedrelatedterm
Who won a border war with Libya?,Egypt,borderwarlibya
What does MP3 use to format it's data?,lossy data compression,mp3useformatdata
What component was to blame for the weak bass of the 3rd generation iPod?,undersized DC-blocking capacitors,componentblameweakbass3rdgenerationipod
What happens with many wrestlers?,have music and lyrics specially written for their ring entrance,happensmanywrestler
What percent of the population is under 30 years old?,70%,percentpopulation30yearold
What contains evidence for a contemplative tradition?,Nasadiya Sukta,containsevidencecontemplativetradition
What did quadraphonic recording feature?,recorded four separate sound signals.,quadraphonicrecordingfeature
What year did oil price spikes in Iran lead to inflation?,1973,yearoilpricespikeiranleadinflation
Einstein's paper on the photoelectric effect earned him the Nobel Prize in what year?,1921,einsteinpaperphotoelectriceffectearnednobelprizeyear
Gas exchange patterns can contain what kind of ventilation?,diffusive ventilation,gasexchangepatterncontainkindventilation
Which railway station was the busiest in the world in the mid-1920s?,Flinders Street Station,railwaystationbusiestworldmid1920s
How many Imax screens showed Spectre on its opening weekend in the US and Canada?,374,manyimaxscreenshowedspectreopeningweekenducanada
What is investigated in cognitive science?,the mind,investigatedcognitivescience
What controversy involving science did Popper believe was sensationalized because of its connection with religion?,creation-evolution,controversyinvolvingsciencepopperbelievesensationalizedconnectionreligion
With whom did Orozco side?,Huerta,orozcoside
What was the accuracy range that China promised to offer in 2008 with the BeiDou system?,10 meters,accuracyrangechinapromisedoffer2008beidousystem
Was there an energy efficiency improvement in the period 1974 through 1980?,no improvement,energyefficiencyimprovementperiod19741980
What color are headlamps on a vehicle?,white or selective yellow,colorheadlampvehicle
"In the 2014 Press Freedom Index, what organization ranked the media environment in Eritrea as the worse of 178 countries?",Reporters Without Borders,2014pressfreedomindexorganizationrankedmediumenvironmenteritreaworse178country
Which states have not adopted FRCP?,"New York, Illinois, and California are the most significant",stateadoptedfrcp
In what year could Nepal be said to have been discovered by the outside world?,1950,yearcouldnepalsaiddiscoveredoutsideworld
"In the nominative, genitive, partitive, illative, inessive, elative, allative, adessive, ablative, translative cases what always agrees with the noun in number and case?",adjectives,nominativegenitivepartitiveillativeinessiveelativeallativeadessiveablativetranslativecasealwaysagreesnounnumbercase
What is the name of the newly renovated site where the bombing occured?,Oklahoma City National Memorial and Museum,namenewlyrenovatedsitebombingoccured
What could be made out of wood that could be used to fight off attackers?,weapons,couldmadewoodcouldusedfightattacker
What are also known as Japanese-coinages?,kokuji,alsoknownjapanesecoinages
Which Confederations Cup did Brasilia host?,2013,confederationcupbrasiliahost
"Besides the Greeks, what other culture contributed to the study of botany?",medieval Muslim world,besidesgreekculturecontributedstudybotany
What did high public interest in the  private lives of the royal family cause in the press?,sensational stories,highpublicinterestprivateliferoyalfamilycausepress
In what century did Saxons and Normans separate?,12th,centurysaxonnormanseparate
When did Methodist and Baptist preachers oppose slavery and urge manumission?,the First Great Awakening,methodistbaptistpreacheropposeslaveryurgemanumission
Frequent episodes of diarrhea are common in what type of cases?,malnutrition,frequentepisodediarrheacommontypecase
What did Nintendo consider emulators?,flagrant software piracy,nintendoconsideremulator
What did the Mimamsa school think that language was meant to describe?,"proper, correct and right",mimamsaschoolthinklanguagemeantdescribe
Are squabs treated differently from other piegons by humans aside from consumption?,"When they hatch, the squabs are fed by both parents on ""pigeon's milk"", a thick secretion high in protein produced by the crop",squabtreateddifferentlypiegonshumanasideconsumption
"In what year did the Admiralty Court hang 26 pirates in Newport, Rhode Island?",1723,yearadmiraltycourthang26piratenewportrhodeisland
What are the other railways being proposed in the state?,"Baddi-Bilaspur, Dharamsala-Palampur and Bilaspur-Manali-Leh.",railwayproposedstate
What was the altitude range in feet of the stratosphere gun?,"60,000 ft",altituderangefootstratospheregun
In what parts of Scotland was Old English spoken?,southern and eastern,partscotlandoldenglishspoken
Why were there armor changes in the 1500s?,"the advent of firearms, new fighting tactics and the need for additional protection",armorchange1500s
The business friendships between which parties have been criticized?,regulator and company employees,businessfriendshippartycriticized
"In the U.S what does ""Cultural Studies"" focus largely on in this field?",popular culture,uculturalstudyfocuslargelyfield
What does this aim to stimulate?,"a ""black"" consciousness and identity.",aimstimulate
What is the Christian Democratic Party also known as?,CVP,christiandemocraticpartyalsoknown
What countries other than Brazil was Brazil's no wave music exported to?,"UK, Germany",countrybrazilbrazilwavemusicexported
"Between 1948 and 1970, how many Jewish refugees relocated to Israel?","1,150,000",19481970manyjewishrefugeerelocatedisrael
Name a soundtrack in the film Who's That Girl?,Causing a Commotion,namesoundtrackfilmwhogirl
"Under the linguistic authority criteria, what is a dialect of German along with Bavarian German?",East Franconian German,linguisticauthoritycriteriondialectgermanalongbavariangerman
"What architect is in charge of the """"Vision for Plymouth""?",David Mackay,architectchargevisionplymouth
"what unusual single did derrick may release, featuring a darker strain of house?","""Strings of Life""",unusualsinglederrickmayreleasefeaturingdarkerstrainhouse
What organization did Libya join in 1999?,Community of Sahel-Saharan States,organizationlibyajoin1999
What is a physical tool that tracks the passage of time?,the clock,physicaltooltrackpassagetime
What format is used to store internal time in systems that use zoneinfo?,timezone-independent epoch time,formatusedstoreinternaltimesystemusezoneinfo
Why was Philip forced to withdraw in the east?,southern flank weakening,philipforcedwithdraweast
How many of Alaska's residents reside in the Anchorage area?,Approximately half,manyalaskaresidentresideanchoragearea
Camillo di Cavour sent how many troops to aid the French and British forces?,"15,000",camillodicavoursentmanytroopaidfrenchbritishforce
How many people were gravely injured by the derailment?,more than ten,manypeoplegravelyinjuredderailment
Bad Company's self titled debut album was released in what year?,1974,badcompanyselftitleddebutalbumreleasedyear
The HD capabilities of modern gaming systems has inspired developers to do what?,"port games from past consoles onto the PS3, Xbox 360 and Wii U, often with remastered or upscaled graphics",hdcapabilitymoderngamingsysteminspireddeveloper
Britain adopting the role as global policeman is known as,Pax Britannica,britainadoptingroleglobalpolicemanknown
In what city is the Miami Amtrak Station?,Hialeah,citymiamiamtrakstation
What sits on top or is flush with the sound table of the Mandolin?,hardwood fingerboard,sitstopflushsoundtablemandolin
"When was the ""Palace of Trade"" built? ",1869,palacetradebuilt
what hit house song did todd terry cover? ,Weekend,hithousesongtoddterrycover
According to Vaisesika what is divisible into atoms?,composite,accordingvaisesikadivisibleatom
What group likes the term bitumen instead of asphalt?,Geologists,groupliketermbitumeninsteadasphalt
How many nuclear warheads can be made with 540 metric tons of highly enriched weapons grade uranium?,"40,000",manynuclearwarheadmade540metrictonhighlyenrichedweapongradeuranium
Who donated the large sum of money to help aid the establishement of the Biochemistry Department?,Wolfson Foundation,donatedlargesummoneyhelpaidestablishementbiochemistrydepartment
In what year was the 6th gen iPod Classic released?,2007,year6thgenipodclassicreleased
How many underwriters was Richard M. Bowen III responsible for at Citigroup?,220,manyunderwriterrichardboweniiiresponsiblecitigroup
Where was a lot of the post-punk pop bands played in addition to MTV?,American college radio,lotpostpunkpopbandplayedadditionmtv
When was Zubizareta fired by the board?,5 January 2015,zubizaretafiredboard
What did Geng long try to establish as a relationship with earthquakes?,droughts,genglongtryestablishrelationshipearthquake
What is another name for the Shamsi Hijri calender?,The Solar Hijri calendar,anothernameshamsihijricalender
These types of corruption can harm what?,the public health,typecorruptionharm
The use of what may disclose your own hidden position on a battlefield? ,light,usemaydisclosehiddenpositionbattlefield
What is the name of KU athletic teams?,Kansas Jayhawks,namekuathleticteam
What did China and Russia both do in 2008 ?,vetoed a draft resolution before the United Nations Security Council calling on the government of Myanmar,chinarussia2008
How many of Oklahoma's House reps were Republican in 2012?,four,manyoklahomahousereprepublican2012
What does database access limit?,who (a person or a certain computer program) is allowed to access what information,databaseaccesslimit
What did VLP stand for in English-speaking countries?,Video Long-Play,vlpstandenglishspeakingcountry
What else can Badges be used to designate in the USAF? ,merit-based or service-based awards,elsebadgeuseddesignateusaf
What is the philosophy of dualism?,Viśiṣṭādvaita,philosophydualism
Who designed gardens for some of Brasilia's major buildings?,Roberto Burle Marx,designedgardenbrasiliamajorbuilding
What venue do the Suns play at in Indian Wells?,Indian Wells Tennis Garden,venuesunplayindianwell
What are two opposing theories of early 20th century immunology?,"""cellular"" and ""humoral""",twoopposingtheoryearly20thcenturyimmunology
Which Senator fought back against the criticism of Title VII?,Hubert Humphrey,senatorfoughtbackcriticismtitlevii
What did the BBC program make their viewers question?,"""Why am I only paying £4 for a hand embroidered top?",bbcprogrammakeviewerquestion
What are the two most common reasons one Grand Lodge will withhold recognition from another?,Exclusive Jurisdiction and Regularity,twocommonreasononegrandlodgewithholdrecognitionanother
When is a federation formed?,two levels,federationformed
General Baptists shared similarities with who?,Dutch Waterlander Mennonites,generalbaptistsharedsimilarity
What roles have interpreters occasionally played in history?,crucial,roleinterpreteroccasionallyplayedhistory
How much had Eton received in farming subsidies in 2005?,"£2,652",muchetonreceivedfarmingsubsidy2005
"According to Shabbir Akhtar, what role does Islam believe Jesus to hold?",a Messenger of God,accordingshabbirakhtarroleislambelievejesushold
What ocean connects to the Congo?,Atlantic Ocean,oceanconnectscongo
"Along with its political corruption, why did Forbes call Miami the country's second most miserable city in 2011?",high foreclosure rate,alongpoliticalcorruptionforbescallmiamicountrysecondmiserablecity2011
What was the number of internet users in the year 2011?,"106,000",numberinternetuseryear2011
When was Munammad Huayn Haykal's first modern novel published?,1913,munammadhuaynhaykalsfirstmodernnovelpublished
"What station first introduced the tagline ""everyone at work can agree on""?",KOST,stationfirstintroducedtaglineeveryoneworkagree
Which city did the Dutch East-India Company decide to reside in after a court decided they could legally only operate in one city?,Amsterdam,citydutcheastindiacompanydecideresidecourtdecidedcouldlegallyoperateonecity
What did Whitehead regard as essential to good science and good philosophy?,metaphysical investigations,whiteheadregardessentialgoodsciencegoodphilosophy
What government inquiry held Begin?,Kahan Commission,governmentinquiryheldbegin
What publication originally reported a potential deal between Comcast and Time Warner?,the Los Angeles Times,publicationoriginallyreportedpotentialdealcomcasttimewarner
How many overseas territories remain under British sovereignty?,Fourteen,manyoverseasterritoryremainbritishsovereignty
What name did the expedition give to the island it saw on January 12th?,Corrales,nameexpeditiongiveislandsawjanuary12th
Who predicted soviet aggression in the Baltic region?,Britain,predictedsovietaggressionbalticregion
What does Punjab mean?,five waters,punjabmean
What caused the Russians based in Memel to be successful deeper into Prussia?,defeated a smaller Prussian force,causedrussianbasedmemelsuccessfuldeeperprussia
When was the first effective treatment for Tuberculosis discovered?,1943,firsteffectivetreatmenttuberculosisdiscovered
What year was J. C. Flügel's Psychology of Clothes published?,1930,yearjcflügelspsychologyclothespublished
"Along with Reims, where is a notable Gothic cathedral in France located?",Chartres,alongreimsnotablegothiccathedralfrancelocated
Which direction does the M6 motorway run?,north to south,directionm6motorwayrun
"In mammals, brain volume and body mass follows a power law with an exponent of what?",0.75,mammalbrainvolumebodymassfollowspowerlawexponent
"By using a central government that taxes heavily, Ptolemy ran his country akin to which bureaucracy?",Ancient Egyptian,usingcentralgovernmenttaxheavilyptolemyrancountryakinbureaucracy
What is often found sweeping unbroken from floor to ceiling on the interior of Gothic buildings?,attached shafts,oftenfoundsweepingunbrokenfloorceilinginteriorgothicbuilding
What name was Adalhard the Elder also known as in 822 AD?,Adalard of Corbie,nameadalhardelderalsoknown822ad
When was INTEGRIS Baptist Medical Center part of U.S News and World Reports best Hospitals list?,2012,integrisbaptistmedicalcenterpartunewsworldreportbesthospitallist
What fraction of Alexander's army was made up of Thracians and Agrianes?,one fifth,fractionalexanderarmymadethracianagrianes
What theories do Feynman diagrams help explain?,string theory and M-theory,theoryfeynmandiagramhelpexplain
Who was the first writer to date the Middle Ages from 476?,Bruni,firstwriterdatemiddleage476
What is the modern single English word for Canis lupus?,wolf,modernsingleenglishwordcanislupus
What are replication origins?,regions where DNA replication is initiated to make two copies of the chromosome,replicationorigin
In what century did Southampton complete construction of the wall around the city?,15th,centurysouthamptoncompleteconstructionwallaroundcity
Who has not been brought to justice?,corrupt government officials,broughtjustice
Daylight Saving Time was used commonly during what war?,Second World War,daylightsavingtimeusedcommonlywar
Who wrote that beauty consists in the proportion not of the elements?,Polykleitos,wrotebeautyconsistsproportionelement
"What fictional New Haven resident is featured in the novella, The Odd Saga of the American and a Curious Iceland Flock?",Alex Welch,fictionalnewresidentfeaturednovellaoddsagaamericancuriousicelandflock
What can trigger famine conditions?,drought,triggerfaminecondition
How long is the cycle of rebirth discussed in the Vedas?,"4,320,000 years",longcyclerebirthdiscussedveda
When was Suez canal completed?,November 1869,suezcanalcompleted
"What could have blasted Neptune and Uranus's atmosphere with radiation, aiding in creation? ",nearby massive OB star,couldblastedneptuneuranusatmosphereradiationaidingcreation
What part of Oklahoma is the Antelope Hills in?,southwestern,partoklahomaantelopehill
How does the Faraday constant relate to the Planck constant?,"Substituting the definitions of NA and e, and converting from conventional electrical units to SI units, gives the relation to the Planck constant.",faradayconstantrelateplanckconstant
What was Dell's market share at the end of 2006?,13.9%,dellmarketshareend2006
What other types of theater performance are seen in Nanjing?,"Suzhou pingtan, spoken theatre and puppet theatre",typetheaterperformanceseennanjing
Who was Banasur's murderer?,Krishna,banasursmurderer
What country did President Frankiln Roosevelt have a good neighbor policy for in hopes of a better relationship?,Mexico,countrypresidentfrankilnrooseveltgoodneighborpolicyhopebetterrelationship
What is the name of the yearly statement released by the MoD?,The Strategic Defence and Security Review,nameyearlystatementreleasedmod
"What were americo-liberians encounters like with tribal Africans""",violent confrontations.,americoliberiansencounterliketribalafrican
What may be triggered suddenly by a spark?,Release of the energy stored during photosynthesis,maytriggeredsuddenlyspark
What are the three constituents of the medical center at KU?,"the School of Medicine, School of Nursing, and School of Health Professions",threeconstituentmedicalcenterku
Why are the presence of certain enymzes a tell tale sign of a virus?,humans can make neither RNA replicases nor reverse transcriptase,presencecertainenymzestelltalesignvirus
Which city has a lower than usual drinking age?,"Windsor, Ontario",citylowerusualdrinkingage
Who is the protagonist of the novel?,Atticus Finch,protagonistnovel
"After a hiatus, in what year did the AFL begin operations again?",2010,hiatusyearaflbeginoperation
What plant was mandated to be grown by the French?,cotton,plantmandatedgrownfrench
Who is less likely to believe that Catalan and Valencian are different?,younger generations,lesslikelybelievecatalanvalenciandifferent
What major accomplishment did Victoria achieve with her civil list allowance?,she paid off her father's debts,majoraccomplishmentvictoriaachievecivillistallowance
What period was Pluto closer to the sun than Neptune? ,between 1979 and 1999,periodplutoclosersunneptune
What designs did ornament use to avoid using the human figure?,geometrical or plant-based,designornamentuseavoidusinghumanfigure
What kind of woods have pores that are uniformly sized?,diffuse-porous,kindwoodporeuniformlysized
